category_path,product_count,avg_base_price,products_with_images,products_with_videos,sample_tags
Fashion & Apparel > Women's Fashion,1204,1573.2,1204,271,"women's fashion, wear, black, fabric, casual, ladies, hair, nightwear, silk, these"
Home & Living > Home Decor > Wall Art & Paintings,1152,613.93,1152,265,"living, home decor, wall art, paintings, frames, wooden, sticky, 8x11, tape, tiles"
Health & Beauty > Personal Care > Oral Care (Toothpaste),665,841.97,665,31,"personal care, oral care (toothpaste), skin, cream, serum, whitening, face, brightening, facial, liquid"
Health & Beauty > Beauty & Cosmetics,588,747.27,588,70,"cosmetics, package, makeup, texture, matte, liquid, lipstick, cream, finish, shades"
Fashion & Apparel > Men's Fashion,571,1178.88,571,215,"men's fashion, wear, fabric, casual, boys, black, all-day, leather, fresh, sizes"
Fashion & Apparel > Women's Fashion > Jewelry (Artificial),557,421.97,557,26,"women's fashion, jewelry (artificial), earrings, girls, korean, silver, jewelry, golden, adjustable, wear"
Fashion & Apparel > Kids & Baby Wear,547,716.79,547,45,"baby wear, winter, boys, warm, girls, tracksuit, sweatshirt, outfit, cozy, trouser"
Home & Living > Home Decor,489,747.17,489,67,"living, home decor, decoration, wooden, wall art, room, thickness, frame, night, inches"
Home & Living > Kitchen & Dining > Kitchen Storage,472,945.79,472,79,"living, dining, kitchen storage, steel, stainless, heat, food, resistant, cooking, sheet"
Automotive > Car Accessories,369,839.56,368,65,"car accessories, mediumlargeextra, black, sizes, sando, tanks, recommend, wear, jersey, summer"
Electronics & Appliances > Mobile & Accessories,368,1152.48,365,109,"mobile, fast, charging, cable, charger, power, phone, reliable, data, android"
Health & Beauty > Beauty & Cosmetics > Nail Care (Tools),345,926.98,345,7,"cosmetics, nail care (tools), hair, skin, liquid, shades, face, natural, cream, texture"
Automotive > Motorbike Accessories,314,973.16,314,69,"motorbike accessories, motorcycle, light, bikes, universal, bike, motorcycles, cars, indicator, decorative"
Health & Beauty > Beauty & Cosmetics > Face Makeup (Foundation),296,802.12,296,44,"cosmetics, face makeup (foundation), foundation, coverage, makeup, liquid, finish, skin, flawless, cream"
Health & Beauty > Personal Care,290,769.43,290,110,"personal care, hair, skin, removal, remover, cream, nikhar, electric, gloves, formula"
Home & Living > Cleaning & Organization,288,510.01,288,140,"living, cleaning, organization, brush, cleaner, bathroom, microfiber, strong, royal, dishwashing"
Home & Living > Kitchen & Dining,225,939.9,225,116,"living, dining, stainless, steel, coffee, bottle, cooking, manual, food, travel"
Electronics & Appliances > Gadgets,219,1626.58,219,91,"gadgets, compact, electric, rechargeable, machine, light, hair, reliable, performance, charging"
Health & Beauty > Health & Wellness,210,1022.21,210,73,"wellness, relief, pain, massager, massage, back, muscle, natural, neck, knee"
Fashion & Apparel,204,907.49,204,59,"hoodie, boys, summer, grey, full, medium, wear, sizes, descriptionnew, casual"
Fashion & Apparel > Women's Fashion > Handbags & Clutches,189,2122.81,189,171,"women's fashion, handbags, clutches, handbag, tote, carry, shoulder, finish, construction, black"
Events & Gifting > Personalized Gifts,176,798.53,176,28,"events, gifting, personalized gifts, white, wooden, t-shirt, t-shirts, girls, frames, sticky"
